,Customer ID,Name,Surname,Gender,Age,Province,Job Classification,Date Joined,Balance,month,Day of week
0,100000001,Simon,Walsh,Male,21,England,White Collar,2015-01-05,113810.15,January,Monday
1,400000002,Jasmine,Miller,Female,34,Northern Ireland,Blue Collar,2015-01-06,36919.73,January,Tuesday
2,100000003,Liam,Brown,Male,46,England,White Collar,2015-01-07,101536.83,January,Wednesday
3,300000004,Trevor,Parr,Male,32,Wales,White Collar,2015-01-08,1421.52,January,Thursday
4,100000005,Deirdre,Pullman,Female,38,England,Blue Collar,2015-01-09,35639.79,January,Friday
5,300000006,Ava,Coleman,Female,30,Wales,Blue Collar,2015-01-09,122443.77,January,Friday
6,100000007,Dorothy,Thomson,Female,34,England,Blue Collar,2015-01-11,42879.84,January,Sunday
7,200000008,Lisa,Knox,Female,48,Scotland,Other,2015-01-11,36680.17,January,Sunday
8,300000009,Ruth,Campbell,Female,33,Wales,White Collar,2015-01-11,74284.35,January,Sunday
9,100000010,Dominic,Parr,Male,42,England,White Collar,2015-01-12,10912.45,January,Monday
10,100000011,Dominic,Lewis,Male,40,England,White Collar,2015-01-12,39667.83,January,Monday
11,100000012,Benjamin,Grant,Male,39,England,White Collar,2015-01-12,32281.62,January,Monday
12,100000013,Ryan,MacDonald,Male,24,England,White Collar,2015-01-12,40781.63,January,Monday
13,200000014,Thomas,Lawrence,Male,46,Scotland,Other,2015-01-12,48791.46,January,Monday
14,300000015,Madeleine,Marshall,Female,36,Wales,Other,2015-01-12,2846.03,January,Monday
15,100000016,Nicholas,Newman,Male,42,England,White Collar,2015-01-14,2116.85,January,Wednesday
16,200000017,Grace,Hill,Female,31,Scotland,Other,2015-01-14,10356.31,January,Wednesday
17,200000018,Samantha,Coleman,Female,42,Scotland,Other,2015-01-14,3801.69,January,Wednesday
18,100000019,William,Ince,Male,40,England,Blue Collar,2015-01-15,65534.69,January,Thursday
19,100000020,Audrey,Jones,Female,46,England,Blue Collar,2015-01-15,11462.64,January,Thursday
20,300000021,Boris,Johnston,Male,37,Wales,Other,2015-01-16,31778.9,January,Friday
21,200000022,Jason,Butler,Male,58,Scotland,Blue Collar,2015-01-18,21252.97,January,Sunday
22,300000023,Deirdre,McDonald,Female,41,Wales,White Collar,2015-01-18,66785.78,January,Sunday
23,200000024,Carl,Quinn,Male,52,Scotland,Blue Collar,2015-01-19,6580.81,January,Monday
24,100000025,Jennifer,Hughes,Female,38,England,White Collar,2015-01-20,20505.32,January,Tuesday
25,200000026,Richard,Fraser,Male,55,Scotland,Blue Collar,2015-01-21,43249.26,January,Wednesday
26,400000027,Rachel,McGrath,Female,37,Northern Ireland,White Collar,2015-01-23,3967.2,January,Friday
27,100000028,Alison,Fisher,Female,33,England,White Collar,2015-01-25,3428.56,January,Sunday
28,200000029,Lucas,Mackenzie,Male,50,Scotland,Blue Collar,2015-01-25,20516.1,January,Sunday
29,100000030,Luke,Wilkins,Male,42,England,White Collar,2015-01-27,10813.83,January,Tuesday
30,100000031,Megan,Bell,Female,25,England,White Collar,2015-01-28,38889.76,January,Wednesday
31,300000032,Warren,Edmunds,Male,30,Wales,White Collar,2015-01-28,14094.01,January,Wednesday
32,200000033,Grace,Chapman,Female,58,Scotland,Other,2015-01-29,25865.2,January,Thursday
33,100000034,Jake,Wilson,Male,26,England,Other,2015-01-30,5833.62,January,Friday
34,100000035,Karen,Dyer,Female,34,England,Blue Collar,2015-01-31,77809.59,January,Saturday
